id_cyc_unico,start_time,end_time,lat,lon,time,source,x_pix,y_pix,idorig
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,39.865,5.468,2011-11-07 07:00:00,CL7,397,147,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,39.983,5.48,2011-11-07 08:00:00,CL7,398,144,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.092,5.505,2011-11-07 09:00:00,CL7,399,141,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.201,5.553,2011-11-07 10:00:00,CL7,400,139,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.32,5.591,2011-11-07 11:00:00,CL7,401,136,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.441,5.601,2011-11-07 12:00:00,CL7,402,133,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.55,5.59,2011-11-07 13:00:00,CL7,402,130,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.643,5.57,2011-11-07 14:00:00,CL7,401,128,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.717,5.544,2011-11-07 15:00:00,CL7,401,126,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.777,5.515,2011-11-07 16:00:00,CL7,400,125,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.828,5.478,2011-11-07 17:00:00,CL7,399,124,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.874,5.427,2011-11-07 18:00:00,CL7,398,123,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.915,5.367,2011-11-07 19:00:00,CL7,396,122,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,40.955,5.311,2011-11-07 20:00:00,CL7,395,121,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.001,5.267,2011-11-07 21:00:00,CL7,394,120,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.043,5.246,2011-11-07 22:00:00,CL7,393,119,1328
