,Medicane,Start_Date,End_Date
1,Rolf,2011-11-03,2011-11-09
3,Ilona,2014-01-19,2014-01-22
4,Qendresa,2014-11-04,2014-11-11
5,Trixie,2016-10-26,2016-11-02
6,Numa,2017-11-14,2017-11-20
7,Zorbas,2018-09-25,2018-10-01
8,Ianos,2020-09-14,2020-09-22
10,Apollo,2021-10-24,2021-11-02
11,Blas,2021-11-06,2021-11-16
12,Helios,2023-02-08,2023-02-11
13,Juliette,2023-02-25,2023-03-04
14,Daniel,2023-09-04,2023-09-11
